company_id,employee_count,follower_count
18348487,24457,2599978
11229,4764,633515
28129827,15,6932
18660,295,5556
503712,421,9484
166340,9985,273646
306672,59,7059
70560,693,15168
1679692,48,4605
15956153,13,16
26574100,34,10548
28406927,21,291
7288391,152,172
816297,58,295
21213719,427,5518
2503130,1363,85924
3029525,3155,57878
48682,739,4204
74702276,12,5211
22208562,2173,63427
27240013,19,6921
42723251,547,6932
163743,29737,664130
5389219,32,931
166421,3249,37921
23841,485,19991
79668835,135,5269
4674,17957,138185
16263152,42,2337
35529,195,2630
2183652,1109,453743
37894,236,4242
16118,3846,27382
91743578,0,123
27099119,72,1390
56092,35,2363
11190179,128,34051
30679342,36,285
1507699,79,3056
1960295,78,1757
3476,10095,3374336
165383,5321,78349
933942,344,17286
2838631,1,7972
2275216,29,656
1952028,464,23881
2615835,187,43089
48528,301,19041
35689556,115,36401
586645,175,46215
2474662,1122,554168
23674217,33,10940
156470,273,49706
91447303,3172,526007
14680,297,19300
2604933,257,27529
3809210,1,178
3181342,737,43162
86694680,1954,227557
1335118,393,18214
18340489,68,55891
82712,112,1418
2560345,195,32003
65808,1241,40907
766876,772,352953
85964,292,33668
1417153,58,42827
18102043,42554,78871
9185109,9,5531
7973087,325,17179
35184,591,12007
1215629,450,184774
10075319,122,45311
36019,845,30230
3269275,11,94
9025,20022,39293
4035,14152,315738
6424460,379,10771
1468,113785,2844474
14606618,64,59332
21738,1299,36126
4433,3297,586775
2788204,377,82812
570420,441,83491
712597,632,20943
18298504,1707,12062
10155672,118,441
54317927,28,488
76777166,1,2107
25929,187,29411
2875,1056,261271
151898,36,384
632140,618,78968
986449,3507,24573
2899266,72,24030
4419,3837,35181
11822654,26,251
79383535,21144,1746765
869128,217,91392
3591245,14,113
5021998,126,28132
11618,3916,62002
215561,207,235548
2114711,16,22840
10833297,176,52201
18456165,78,760
9889773,147,3590
3364,34702,603203
1167975,408,6455
11544533,9,67
6274163,1,78
9817526,472,9588
8593,7377,40931
163227,626,27392
54819446,23,138
252624,1771,11720
217273,474,35625
25030757,34,258
9201,4064,83178
298409,394,146728
981830,46,1977
56833,1493,87013
1970,46289,409766
95267,83,66018
61397771,5,13
418451,309,2654
6915,5797,78683
2152,25435,800457
94181897,2,49
25038366,14,108
5336314,7,508
18449575,189,26892
202287,309,2055
65529778,22,6411
7463,6323,60868
162258,13221,83707
162807,5125,641899
81962756,5,70
11028871,241,2403
28612425,14,297
6382239,221,45001
6638223,34,7157
13421086,86,13441
2928642,178,2044
162547,8572,81923
2314143,217,26267
155710,58,16546
2124763,362,7664
94079,2955,51309
89686436,6,4325
21784,188,108455
33125878,118,35615
5131340,176,8749
284382,809,219177
38092727,12,670
1967752,71,1404
352246,300,1539
3505146,67,965
1251463,71,3679
31032366,31,18174
145137,429,6033
30498,8160,68215
53939277,12,46
853789,530,7019
1265059,1,1952
211869,199,69229
27903,104,33301
164920,2821,81774
118698,175,16015
2403625,219,55822
64969581,1,29
1117735,1,180
230197,47,1986
24995091,449,1249
40739208,12,843
14633226,108,2713
5234457,122,73929
5260930,123,14298
10841679,98,41199
8861597,10,32
10616113,171,63129
104243,55,260
280956,59,8696
18758749,147,47043
35581547,63,127
82263,42,19526
5084329,279,35001
95734231,8,378
19626,219,76591
383369,77,72432
290493,354,4714
68951389,14,13703
2168893,107,37609
26793,3498,137914
22003,1068,46442
2644830,22,163
236019,215,8343
4126,57799,1554360
3240627,388,27594
8524,8804,1000654
7893064,93,7154
52119691,28,1015
210064,137255,3184299
11133123,836,123815
37476400,27,195
10076831,16,1571
2864539,9,5049
743843,85,89224
11553420,1102,116391
1158192,107,17862
2121817,343,280898
15650165,19,24
8117,2309,554370
9089,7918,431343
2132152,217,2807
2511837,115,10041
15571126,20,85
235340,135,8739
27016907,8,182
528217,491,12000
82120874,8,3981
894315,173,5219
17975937,176,22448
90198358,576,31066
164766,726,340697
207697,9,24675
80055,137,14297
27244722,59,868
77185102,91,15165
12601035,6,201
